,Class,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Distance in Speed zone 2 [yd] (0.10 - 2.59 mph),Distance in Speed zone 3 [yd] (2.60 - 5.13 mph),Distance in Speed zone 4 [yd] (5.14 - 8.38 mph),Distance in Speed zone 5 [yd] (8.39- mph),Number of accelerations (-50.00 - -3.00 m/s),Number of accelerations (-2.99 - -2.00 m/s),Number of accelerations (-1.99 - -1.00 m/s),Number of accelerations (-0.99 - -0.50 m/s),Number of accelerations (0.50 - 0.99 m/s),Number of accelerations (1.00 - 1.99 m/s),Number of accelerations (2.00 - 2.99 m/s),Number of accelerations (3.00 - 50.00 m/s),Min Played,Total accelerations
72,Defender,10160,59,16.4,2.1,0.2708333333333333,0.13503937007874015,0.28651574803149604,0.36929133858267715,0.20885826771653543,0.003084832904884319,0.030334190231362468,0.14910025706940874,0.3398457583547558,0.2802056555269923,0.16298200514138816,0.030334190231362468,0.004113110539845758,48,1945.0
74,Midfielder,9631,56,16.8,2.1,0.26666666666666666,0.14038002284290313,0.26840411172256257,0.37483127401100613,0.21586543453431628,0.006725297465080186,0.04035178479048112,0.15933781686497672,0.30574236937403,0.28970512157268496,0.15882048629073978,0.03621314019658562,0.0031039834454216243,45,1933.0
76,Midfielder,4494,26,13.3,1.0,0.5,0.20071206052514465,0.3164218958611482,0.35514018691588783,0.1268357810413885,0.002497918401332223,0.034970857618651124,0.14654454621149043,0.33805162364696084,0.2922564529558701,0.14571190674437967,0.03746877601998335,0.002497918401332223,12,1201.0
77,Defender,8931,52,15.3,1.9,0.2708333333333333,0.17120143321016684,0.30164595230097413,0.35158436905161794,0.1750083977158213,0.005170630816959669,0.03464322647362978,0.17476732161323683,0.30403309203722856,0.2714581178903826,0.16649431230610134,0.03722854188210962,0.0062047569803516025,48,1934.0
78,Midfielder,14306,84,18.8,3.1,0.26666666666666666,0.12106808332168321,0.3025304068223123,0.36103732699566615,0.21515448063749476,0.0088,0.0432,0.1676,0.3016,0.258,0.1692,0.0444,0.0072,90,2500.0
80,Midfielder,10474,61,17.4,2.2,0.28846153846153844,0.14111132327668513,0.2867099484437655,0.3532556807332442,0.21854114951308,0.009816474605207,0.03841229193341869,0.16047801963294922,0.3068715322236449,0.28894579598804954,0.15450277422108408,0.03713188220230474,0.0038412291933418692,52,2343.0
81,Defender,8443,49,15.8,1.8,0.11904761904761904,0.1805045599905247,0.2790477318488689,0.3494018713727348,0.19057207153855266,0.005420054200542005,0.03387533875338753,0.1673441734417344,0.3055555555555556,0.29471544715447157,0.16056910569105692,0.03116531165311653,0.0013550135501355014,42,1476.0
82,Defender,10520,62,15.3,2.3,0.06153846153846154,0.20960076045627377,0.30693916349809885,0.3614068441064639,0.12167300380228137,0.0038929440389294406,0.0267639902676399,0.1591240875912409,0.332360097323601,0.27883211678832115,0.16155717761557178,0.03600973236009732,0.00145985401459854,65,2055.0
83,Forward,8634,51,15.7,1.8,0.26666666666666666,0.1665508454945564,0.3146861246235812,0.33796618021774383,0.18033356497567754,0.0043076923076923075,0.03323076923076923,0.1753846153846154,0.30338461538461536,0.2775384615384615,0.15938461538461537,0.04123076923076923,0.005538461538461538,45,1625.0
84,Defender,10176,60,16.1,2.2,0.1206896551724138,0.16529088050314467,0.28311713836477986,0.3741155660377358,0.1771816037735849,0.008145663632007666,0.03497843794920939,0.17824628653569718,0.28988979396262576,0.2889314805941543,0.17105893627216098,0.026832774317201723,0.0019166267369429804,58,2087.0
85,Forward,4111,24,15.7,0.9,0.5714285714285714,0.2048163463877402,0.3118462661153004,0.3230357577231817,0.15908538068596448,0.008522727272727272,0.032196969696969696,0.16382575757575757,0.3248106060606061,0.28125,0.15151515151515152,0.036931818181818184,0.000946969696969697,7,1056.0
88,Defender,5463,28,16.3,1.0,0.10752688172043011,0.21252059308072488,0.305143693941058,0.2943437671609006,0.18707669778509975,0.006273525721455458,0.028858218318695106,0.15746549560853199,0.3299874529485571,0.30238393977415307,0.13739021329987453,0.03513174404015056,0.002509410288582183,93,1594.0
